id,difficulty,category,question,options,correct_answer,explanation,hint
96,Intermediate,Logic,A clock shows 3:15. What is the angle between the hour and minute hands?,0°|7.5°|15°|22.5°,7.5°,"At 3:15, the minute hand is at 90° (pointing at 3). The hour hand moves 0.5° per minute, so in 15 minutes it moves 7.5° past the 3. The angle between them is 7.5°.","Remember the hour hand moves continuously, not in jumps"
97,Intermediate,Math,"If 5 cats can catch 5 mice in 5 minutes, how many cats are needed to catch 100 mice in 100 minutes?",5 cats|20 cats|100 cats|500 cats,5 cats,"Each cat catches 1 mouse in 5 minutes, or 20 mice in 100 minutes. So 5 cats can catch 100 mice in 100 minutes.",Calculate the rate per cat first
98,Intermediate,Pattern,"What comes next in the sequence: 2, 6, 12, 20, 30, ?",40|42|44|48,42,"The differences are 4, 6, 8, 10, 12... (increasing by 2 each time). So 30 + 12 = 42.",Look at the differences between consecutive numbers
99,Intermediate,Logic,"You have 12 balls, one is slightly heavier. Using a balance scale only 3 times, can you find the heavy ball?",Yes|No|Only with 4 weighings|Impossible to know,Yes,"Divide into groups of 4. Weigh two groups. If balanced, the heavy ball is in the third group. Continue dividing by 3 or 4 until found in exactly 3 weighings.",Divide the balls into three groups of 4
100,Intermediate,Math,A bat and ball cost ₹110 in total. The bat costs ₹100 more than the ball. How much does the ball cost?,₹5|₹10|₹15|₹20,₹5,"If ball = x, then bat = x + 100. So x + (x + 100) = 110, which gives 2x = 10, so x = 5. The ball costs ₹5.",Set up an equation with the ball's price as x
101,Intermediate,Logic,Which is heavier: a kilogram of feathers or a kilogram of iron?,Feathers|Iron|Both weigh the same|Depends on density,Both weigh the same,"A kilogram is a kilogram, regardless of the material. Both weigh exactly 1 kg.",Focus on the unit of measurement given
102,Intermediate,Pattern,"Find the missing number: 3, 7, 15, 31, 63, ?",95|115|127|131,127,Each number is (previous × 2) + 1. So 63 × 2 + 1 = 127.,Look at how each number relates to the previous one
103,Intermediate,Math,A snail climbs 3 feet up a 10-foot wall each day but slides down 2 feet each night. How many days to reach the top?,8 days|10 days|7 days|9 days,8 days,"After 7 days, the snail is at 7 feet (net 1 foot per day). On day 8, it climbs 3 feet to reach 10 feet and escapes before sliding down.",Consider what happens on the final day before sliding
104,Intermediate,Logic,"If you overtake the person in 2nd place in a race, what position are you in?",1st place|2nd place|3rd place|Depends on speed,2nd place,"If you overtake the person in 2nd place, you take their position (2nd), and they become 3rd.",You take the position of the person you overtake
105,Intermediate,Pattern,"What's the next letter: J, F, M, A, M, J, J, ?",A|S|O|N,A,"These are the first letters of the months: January, February, March, April, May, June, July, August.",Think about the calendar year
106,Intermediate,Math,"A car travels 60 km at 30 km/h, then 60 km at 60 km/h. What's the average speed?",40 km/h|45 km/h|50 km/h|55 km/h,40 km/h,"Time = distance/speed. First part: 2 hours, second part: 1 hour. Total: 120 km in 3 hours = 40 km/h average.","Calculate total time, not average of speeds"
107,Intermediate,Logic,Three switches outside a room control three bulbs inside. You can flip switches but enter only once. How to match each switch to each bulb?,Impossible|Use heat and light|Use sound|Need 2 entries,Use heat and light,"Turn on switch 1 for 10 minutes, turn it off, turn on switch 2, enter. The hot-off bulb is switch 1, the on bulb is switch 2, the cold-off bulb is switch 3.",Bulbs produce more than just light
108,Intermediate,Pattern,"Find the odd one out: 3, 5, 11, 14, 17, 21",3|5|14|21,14,"All numbers except 14 are prime numbers. 14 = 2 × 7, so it's not prime.",Consider which numbers can only be divided by 1 and themselves
109,Intermediate,Math,How many times do the hour and minute hands overlap in 12 hours?,11 times|12 times|22 times|24 times,11 times,The hands overlap every 12/11 hours (approximately 65.45 minutes). In 12 hours: 12 ÷ (12/11) = 11 overlaps.,They don't overlap at exactly every hour
110,Intermediate,Logic,A farmer has 17 sheep. All but 9 die. How many are left?,8|9|17|None,9,"'All but 9' means all except 9 died, so 9 sheep are left alive.",Read the phrase 'all but 9' carefully
111,Expert,Logic,"Five pirates find 100 gold coins. They vote on splits. If <50% agree, the proposer dies and the next proposes. What should Pirate 1 propose to survive and maximize his coins?",Keep 100|98-0-1-0-1|97-0-1-0-2|96-0-1-0-3,98-0-1-0-1,"Using backward induction: Pirate 1 needs 3 votes (including his own). He gives 1 coin each to Pirates 3 and 5 (who'd get 0 if he dies), keeping 98.",Work backwards from the last pirate's scenario
